point_index,num_pulses,x_target_nm,y_target_nm,x_nm_avg,y_nm_avg,peak_intensity_mV_avg
112,3,-1000000,1250000,-5647.145669291339,0.0,710.5068897637796
113,3,-750000,1250000,-2509.8425196850394,-1259.8425196850394,631.7667322834645
114,3,-500000,1250000,-4392.224409448819,-1259.8425196850394,631.7667322834645
115,3,-250000,1250000,-2509.8425196850394,-1259.8425196850394,631.7667322834645
116,3,0,1250000,-627.4606299212599,0.0,710.5068897637796
117,3,250000,1250000,-3764.763779527559,0.0,631.7667322834645
118,3,500000,1250000,-2509.8425196850394,0.0,631.7667322834645
119,3,750000,1250000,-627.4606299212599,0.0,631.7667322834645
120,3,1000000,1250000,-4392.224409448819,0.0,631.7667322834645
121,3,1250000,1250000,-4392.224409448819,0.0,631.7667322834645
