global_capture,point_index,pulse,x_target_nm,y_target_nm,x_nm,y_nm,peak_intensity_mV
,37,2,-500000,-500000,-3764.763779527559,0.0,236.83562992125985
,37,3,-500000,-500000,-1882.3818897637796,0.0,631.7667322834645
,38,1,-250000,-500000,-3764.763779527559,0.0,631.7667322834645
,38,2,-250000,-500000,-1882.3818897637796,0.0,236.83562992125985
,38,3,-250000,-500000,-1882.3818897637796,0.0,631.7667322834645
,39,1,0,-500000,-1882.3818897637796,0.0,631.7667322834645
,39,2,0,-500000,-1882.3818897637796,0.0,236.83562992125985
,39,3,0,-500000,-1882.3818897637796,0.0,631.7667322834645
,40,1,250000,-500000,0.0,0.0,631.7667322834645
,40,2,250000,-500000,-1882.3818897637796,0.0,315.88336614173227
,40,3,250000,-500000,0.0,-3779.527559055118,631.7667322834645
,41,1,500000,-500000,0.0,-3779.527559055118,631.7667322834645
,41,2,500000,-500000,-5647.145669291339,0.0,236.83562992125985
,41,3,500000,-500000,-7529.527559055118,0.0,631.7667322834645
,42,1,750000,-500000,-5647.145669291339,0.0,631.7667322834645
,42,2,750000,-500000,0.0,0.0,236.83562992125985
,42,3,750000,-500000,1882.3818897637796,0.0,631.7667322834645
,43,1,1000000,-500000,-1882.3818897637796,0.0,631.7667322834645
,43,2,1000000,-500000,-5647.145669291339,0.0,236.83562992125985
,43,3,1000000,-500000,-5647.145669291339,0.0,631.7667322834645
,44,1,1250000,-500000,-7529.527559055118,0.0,631.7667322834645
,44,2,1250000,-500000,-3764.763779527559,0.0,236.83562992125985
,44,3,1250000,-500000,-5647.145669291339,0.0,710.5068897637796
,45,1,-1250000,-250000,-3764.763779527559,0.0,710.5068897637796
,45,2,-1250000,-250000,-5647.145669291339,0.0,236.83562992125985
,45,3,-1250000,-250000,1882.3818897637796,0.0,631.7667322834645
,46,1,-1000000,-250000,-3764.763779527559,-3779.527559055118,631.7667322834645
,46,2,-1000000,-250000,-5647.145669291339,0.0,236.83562992125985
,46,3,-1000000,-250000,1882.3818897637796,-3779.527559055118,631.7667322834645
,47,1,-750000,-250000,0.0,-3779.527559055118,631.7667322834645
,47,2,-750000,-250000,-7529.527559055118,0.0,315.88336614173227
,47,3,-750000,-250000,-5647.145669291339,-7559.055118110236,631.7667322834645
,48,1,-500000,-250000,1882.3818897637796,0.0,631.7667322834645
,48,2,-500000,-250000,-1882.3818897637796,0.0,236.83562992125985
,48,3,-500000,-250000,-5647.145669291339,0.0,631.7667322834645
,49,1,-250000,-250000,-3764.763779527559,0.0,631.7667322834645
,49,2,-250000,-250000,-1882.3818897637796,0.0,236.83562992125985
,49,3,-250000,-250000,-3764.763779527559,0.0,631.7667322834645
,50,1,0,-250000,-1882.3818897637796,0.0,631.7667322834645
,50,2,0,-250000,-1882.3818897637796,0.0,236.83562992125985
,50,3,0,-250000,0.0,0.0,631.7667322834645
,51,1,250000,-250000,-1882.3818897637796,0.0,710.5068897637796
,51,2,250000,-250000,-3764.763779527559,0.0,236.83562992125985
,51,3,250000,-250000,0.0,0.0,631.7667322834645
,52,1,500000,-250000,-5647.145669291339,0.0,631.7667322834645
,52,2,500000,-250000,-1882.3818897637796,0.0,236.83562992125985
,52,3,500000,-250000,-1882.3818897637796,0.0,631.7667322834645
,53,1,750000,-250000,1882.3818897637796,-3779.527559055118,631.7667322834645
,53,2,750000,-250000,-7529.527559055118,0.0,236.83562992125985
,53,3,750000,-250000,0.0,0.0,631.7667322834645
,54,1,1000000,-250000,5647.145669291339,0.0,631.7667322834645
,54,2,1000000,-250000,-3764.763779527559,0.0,236.83562992125985
,54,3,1000000,-250000,0.0,0.0,631.7667322834645
,55,1,1250000,-250000,-1882.3818897637796,0.0,631.7667322834645
,55,2,1250000,-250000,-5647.145669291339,0.0,236.83562992125985
,55,3,1250000,-250000,-3764.763779527559,0.0,631.7667322834645
,56,1,-1250000,0,1882.3818897637796,0.0,631.7667322834645
,56,2,-1250000,0,-5647.145669291339,0.0,157.7878937007874
,56,3,-1250000,0,-1882.3818897637796,0.0,631.7667322834645
,57,1,-1000000,0,-5647.145669291339,0.0,631.7667322834645
,57,2,-1000000,0,1882.3818897637796,0.0,236.83562992125985
,57,3,-1000000,0,-1882.3818897637796,0.0,631.7667322834645
,58,1,-750000,0,0.0,0.0,631.7667322834645
,58,2,-750000,0,-3764.763779527559,0.0,236.83562992125985
,58,3,-750000,0,-3764.763779527559,0.0,631.7667322834645
